"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","62","Добавление несуществующего товара в корзину","tests","Sat Jan 17 00:38:59 UTC 2026","passed","Sat Jan 17 00:38:59 UTC 2026","TestCartNegative","test_cart","",""
"","50","Создание пользователя с невалидным email","tests","Sat Jan 17 00:39:09 UTC 2026","passed","Sat Jan 17 00:39:09 UTC 2026","TestUserNegative","test_user","",""
"","268","Создание пользователя с невалидным email","tests","Sat Jan 17 00:39:09 UTC 2026","passed","Sat Jan 17 00:39:09 UTC 2026","TestUserNegative","test_user","",""
"","75","Создание пользователя с невалидным телефоном","tests","Sat Jan 17 00:39:09 UTC 2026","passed","Sat Jan 17 00:39:09 UTC 2026","TestUserNegative","test_user","",""
"","93","Логин пользователя с невалидным форматом email и валидным паролем","tests","Sat Jan 17 00:38:46 UTC 2026","passed","Sat Jan 17 00:38:46 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","128","Создание продукта с данными в невалидном формате","tests","Sat Jan 17 00:39:01 UTC 2026","passed","Sat Jan 17 00:39:01 UTC 2026","TestProductNegative","test_product","",""
"","45","Удаление существующего пользователя","tests","Sat Jan 17 00:39:09 UTC 2026","passed","Sat Jan 17 00:39:09 UTC 2026","TestUserPositive","test_user","",""
"","83","Логин пользователя с валидным, но не зарегистрированным email и валидным паролем","tests","Sat Jan 17 00:38:48 UTC 2026","passed","Sat Jan 17 00:38:48 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","0","Создание заказа с удаленной корзиной","tests","Sat Jan 17 00:38:55 UTC 2026","skipped","Sat Jan 17 00:38:55 UTC 2026","TestOrderNegative","test_order","",""
"","65","Получение существующего продукта","tests","Sat Jan 17 00:39:00 UTC 2026","passed","Sat Jan 17 00:39:00 UTC 2026","TestProductPositive","test_product","",""
"","36","Создание пользователя с невалидным телефоном","tests","Sat Jan 17 00:39:09 UTC 2026","passed","Sat Jan 17 00:39:09 UTC 2026","TestUserNegative","test_user","",""
