"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","76","Добавление несуществующего товара в корзину","tests","Mon Jan 26 13:23:58 UTC 2026","passed","Mon Jan 26 13:23:58 UTC 2026","TestCartNegative","test_cart","",""
"","943","Логин админа с валидными данными","tests","Mon Jan 26 13:23:31 UTC 2026","passed","Mon Jan 26 13:23:32 UTC 2026","TestAuthenticationPositive","test_authentication","",""
"","170","Добавление товара без наличия в корзину","tests","Mon Jan 26 13:23:56 UTC 2026","passed","Mon Jan 26 13:23:56 UTC 2026","TestCartNegative","test_cart","",""
"","118","Удаление существующего пользователя","tests","Mon Jan 26 13:24:12 UTC 2026","passed","Mon Jan 26 13:24:12 UTC 2026","TestUserPositive","test_user","",""
"","42","Логин пользователя с валидным, но не зарегистрированным email и валидным паролем","tests","Mon Jan 26 13:23:34 UTC 2026","passed","Mon Jan 26 13:23:34 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","69","Создание пользователя с невалидным email","tests","Mon Jan 26 13:24:12 UTC 2026","passed","Mon Jan 26 13:24:12 UTC 2026","TestUserNegative","test_user","",""
"","180","Удаление корзины","tests","Mon Jan 26 13:23:51 UTC 2026","passed","Mon Jan 26 13:23:51 UTC 2026","TestCartPositive","test_cart","",""
"","752","Логин пользователя с отсутствующим паролем","tests","Mon Jan 26 13:23:33 UTC 2026","passed","Mon Jan 26 13:23:33 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","74","Создание пользователя с невалидным телефоном","tests","Mon Jan 26 13:24:15 UTC 2026","passed","Mon Jan 26 13:24:15 UTC 2026","TestUserNegative","test_user","",""
"","702","Логин пользователя с зарегистрированным email и неподходящим паролем","tests","Mon Jan 26 13:23:30 UTC 2026","passed","Mon Jan 26 13:23:31 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","608","Логин пользователя с валидными данными","tests","Mon Jan 26 13:23:29 UTC 2026","passed","Mon Jan 26 13:23:29 UTC 2026","TestAuthenticationPositive","test_authentication","",""
"","402","Получение существующего пользователя","tests","Mon Jan 26 13:24:07 UTC 2026","passed","Mon Jan 26 13:24:08 UTC 2026","TestUserPositive","test_user","",""
"","241","Добавление количества одного товара в корзину больше чем доступно","tests","Mon Jan 26 13:23:38 UTC 2026","passed","Mon Jan 26 13:23:38 UTC 2026","TestCartNegative","test_cart","",""
"","47","Создание продукта с данными в невалидном формате","tests","Mon Jan 26 13:24:01 UTC 2026","passed","Mon Jan 26 13:24:01 UTC 2026","TestProductNegative","test_product","",""
"","136","Логин пользователя с невалидным форматом email и валидным паролем","tests","Mon Jan 26 13:23:34 UTC 2026","passed","Mon Jan 26 13:23:34 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","226","Создание заказа","tests","Mon Jan 26 13:23:43 UTC 2026","passed","Mon Jan 26 13:23:43 UTC 2026","TestOrderPositive","test_order","",""
"","20","Получение заказа по id","tests","Mon Jan 26 13:23:48 UTC 2026","passed","Mon Jan 26 13:23:48 UTC 2026","TestOrderPositive","test_order","",""
"","55","Создание продукта без заполнения обязательного поля","tests","Mon Jan 26 13:24:07 UTC 2026","passed","Mon Jan 26 13:24:07 UTC 2026","TestProductNegative","test_product","",""
"","60","Обновление данных существующего пользователя","tests","Mon Jan 26 13:24:11 UTC 2026","passed","Mon Jan 26 13:24:11 UTC 2026","TestUserPositive","test_user","",""
