"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","711","Логин админа с валидными данными","tests","Tue Jan 13 00:32:23 UTC 2026","passed","Tue Jan 13 00:32:23 UTC 2026","TestAuthenticationPositive","test_authentication","",""
"","707","Создание пользователя с валидными данными","tests","Tue Jan 13 00:32:39 UTC 2026","passed","Tue Jan 13 00:32:40 UTC 2026","TestUserPositive","test_user","",""
"","30","Создание заказа","tests","Tue Jan 13 00:32:30 UTC 2026","passed","Tue Jan 13 00:32:30 UTC 2026","TestOrderPositive","test_order","",""
"","637","Логин пользователя с зарегистрированным email и неподходящим паролем","tests","Tue Jan 13 00:32:21 UTC 2026","passed","Tue Jan 13 00:32:21 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","17","Получение данных корзины","tests","Tue Jan 13 00:32:30 UTC 2026","passed","Tue Jan 13 00:32:30 UTC 2026","TestCartPositive","test_cart","",""
"","72","Создание пользователя с невалидным email","tests","Tue Jan 13 00:32:41 UTC 2026","passed","Tue Jan 13 00:32:41 UTC 2026","TestUserNegative","test_user","",""
"","0","Создание продукта без заполнения обязательного поля","tests","Tue Jan 13 00:32:41 UTC 2026","skipped","Tue Jan 13 00:32:41 UTC 2026","TestProductNegative","test_product","",""
"","81","Создание пользователя с уже зарегистрированным email","tests","Tue Jan 13 00:32:43 UTC 2026","passed","Tue Jan 13 00:32:43 UTC 2026","TestUserNegative","test_user","",""
"","19","Создание пользователя с невалидным телефоном","tests","Tue Jan 13 00:32:41 UTC 2026","passed","Tue Jan 13 00:32:41 UTC 2026","TestUserNegative","test_user","",""
"","94","Удаление существующего пользователя","tests","Tue Jan 13 00:32:43 UTC 2026","passed","Tue Jan 13 00:32:43 UTC 2026","TestUserPositive","test_user","",""
"","45","Получение существующего продукта","tests","Tue Jan 13 00:32:35 UTC 2026","passed","Tue Jan 13 00:32:35 UTC 2026","TestProductPositive","test_product","",""
"","0","Создание заказа если один из продуктов недоступен","tests","Tue Jan 13 00:32:30 UTC 2026","skipped","Tue Jan 13 00:32:30 UTC 2026","TestOrderNegative","test_order","",""
"","96","Создание продукта с данными в невалидном формате","tests","Tue Jan 13 00:32:39 UTC 2026","passed","Tue Jan 13 00:32:39 UTC 2026","TestProductNegative","test_product","",""
"","0","Создание продукта без заполнения обязательного поля","tests","Tue Jan 13 00:32:39 UTC 2026","skipped","Tue Jan 13 00:32:39 UTC 2026","TestProductNegative","test_product","",""
"","10","Удаление единицы продукта из корзины","tests","Tue Jan 13 00:32:27 UTC 2026","passed","Tue Jan 13 00:32:27 UTC 2026","TestCartPositive","test_cart","",""
"","67","Создание пользователя с невалидным email","tests","Tue Jan 13 00:32:41 UTC 2026","passed","Tue Jan 13 00:32:41 UTC 2026","TestUserNegative","test_user","",""
"","1098","Логин пользователя с отсутствующим паролем","tests","Tue Jan 13 00:32:22 UTC 2026","passed","Tue Jan 13 00:32:23 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","26","Логин пользователя с невалидным форматом email и валидным паролем","tests","Tue Jan 13 00:32:24 UTC 2026","passed","Tue Jan 13 00:32:24 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","12","Обновление количества единицы продукта в корзине","tests","Tue Jan 13 00:32:30 UTC 2026","passed","Tue Jan 13 00:32:30 UTC 2026","TestCartPositive","test_cart","",""
"","131","Логин пользователя с валидным, но не зарегистрированным email и валидным паролем","tests","Tue Jan 13 00:32:24 UTC 2026","passed","Tue Jan 13 00:32:24 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","410","Создание продукта с данными в невалидном формате","tests","Tue Jan 13 00:32:40 UTC 2026","passed","Tue Jan 13 00:32:41 UTC 2026","TestProductNegative","test_product","",""
"","44","Удаление корзины","tests","Tue Jan 13 00:32:34 UTC 2026","passed","Tue Jan 13 00:32:34 UTC 2026","TestCartPositive","test_cart","",""
"","81","Логин пользователя с невалидным форматом email и валидным паролем","tests","Tue Jan 13 00:32:23 UTC 2026","passed","Tue Jan 13 00:32:23 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","513","Обновление данных существующего пользователя","tests","Tue Jan 13 00:32:43 UTC 2026","passed","Tue Jan 13 00:32:43 UTC 2026","TestUserPositive","test_user","",""
"","54","Удаление существующего продукта","tests","Tue Jan 13 00:32:41 UTC 2026","passed","Tue Jan 13 00:32:42 UTC 2026","TestProductPositive","test_product","",""
"","47","Создание пользователя с невалидным паролем","tests","Tue Jan 13 00:32:41 UTC 2026","passed","Tue Jan 13 00:32:41 UTC 2026","TestUserNegative","test_user","",""
"","0","Создание продукта без заполнения обязательного поля","tests","Tue Jan 13 00:32:39 UTC 2026","skipped","Tue Jan 13 00:32:39 UTC 2026","TestProductNegative","test_product","",""
"","39","Создание пользователя с невалидным телефоном","tests","Tue Jan 13 00:32:43 UTC 2026","passed","Tue Jan 13 00:32:43 UTC 2026","TestUserNegative","test_user","",""
"","169","Создание пользователя с невалидным паролем","tests","Tue Jan 13 00:32:41 UTC 2026","passed","Tue Jan 13 00:32:41 UTC 2026","TestUserNegative","test_user","",""
"","402","Логин пользователя с невалидным форматом email и валидным паролем","tests","Tue Jan 13 00:32:21 UTC 2026","passed","Tue Jan 13 00:32:22 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","455","Создание продукта с валидными данными","tests","Tue Jan 13 00:32:32 UTC 2026","passed","Tue Jan 13 00:32:33 UTC 2026","TestProductPositive","test_product","",""
