"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","Создание продукта с данными в невалидном формате","tests","Sun Jan 18 07:28:11 UTC 2026","passed","Sun Jan 18 07:28:11 UTC 2026","TestProductNegative","test_product","",""
"","69","Создание пользователя с невалидным email","tests","Sun Jan 18 07:28:17 UTC 2026","passed","Sun Jan 18 07:28:17 UTC 2026","TestUserNegative","test_user","",""
"","62","Создание продукта без заполнения обязательного поля","tests","Sun Jan 18 07:28:11 UTC 2026","passed","Sun Jan 18 07:28:11 UTC 2026","TestProductNegative","test_product","",""
"","15","Создание пользователя с невалидным телефоном","tests","Sun Jan 18 07:28:18 UTC 2026","passed","Sun Jan 18 07:28:18 UTC 2026","TestUserNegative","test_user","",""
"","47","Создание пользователя с невалидным паролем","tests","Sun Jan 18 07:28:17 UTC 2026","passed","Sun Jan 18 07:28:18 UTC 2026","TestUserNegative","test_user","",""
"","1316","Логин админа с валидными данными","tests","Sun Jan 18 07:27:46 UTC 2026","passed","Sun Jan 18 07:27:48 UTC 2026","TestAuthenticationPositive","test_authentication","",""
"","81","Удаление единицы продукта из корзины","tests","Sun Jan 18 07:27:51 UTC 2026","passed","Sun Jan 18 07:27:51 UTC 2026","TestCartPositive","test_cart","",""
"","84","Логин пользователя с валидным, но не зарегистрированным email и валидным паролем","tests","Sun Jan 18 07:27:49 UTC 2026","passed","Sun Jan 18 07:27:49 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","6","Получение списка заказов","tests","Sun Jan 18 07:28:04 UTC 2026","passed","Sun Jan 18 07:28:04 UTC 2026","TestOrderPositive","test_order","",""
"","218","Обновление количества единицы продукта в корзине","tests","Sun Jan 18 07:27:55 UTC 2026","passed","Sun Jan 18 07:27:55 UTC 2026","TestCartPositive","test_cart","",""
"","9","Получение текущего пользователя","tests","Sun Jan 18 07:28:18 UTC 2026","passed","Sun Jan 18 07:28:18 UTC 2026","TestUserPositive","test_user","",""
"","37","Логин пользователя с невалидным форматом email и валидным паролем","tests","Sun Jan 18 07:27:45 UTC 2026","passed","Sun Jan 18 07:27:45 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","25","Получение заказа по id","tests","Sun Jan 18 07:27:59 UTC 2026","passed","Sun Jan 18 07:27:59 UTC 2026","TestOrderPositive","test_order","",""
"","55","Создание продукта с некорректным URL изображения","tests","Sun Jan 18 07:28:14 UTC 2026","passed","Sun Jan 18 07:28:14 UTC 2026","TestProductNegative","test_product","",""
"","215","Получение существующего пользователя","tests","Sun Jan 18 07:28:16 UTC 2026","passed","Sun Jan 18 07:28:16 UTC 2026","TestUserPositive","test_user","",""
"","74","Создание пользователя с невалидным email","tests","Sun Jan 18 07:28:17 UTC 2026","passed","Sun Jan 18 07:28:17 UTC 2026","TestUserNegative","test_user","",""
"","121","Добавление единицы продукта в корзину","tests","Sun Jan 18 07:27:51 UTC 2026","passed","Sun Jan 18 07:27:51 UTC 2026","TestCartPositive","test_cart","",""
"","99","Логин пользователя с невалидным форматом email и валидным паролем","tests","Sun Jan 18 07:27:50 UTC 2026","passed","Sun Jan 18 07:27:50 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","15","Создание пользователя с невалидным телефоном","tests","Sun Jan 18 07:28:18 UTC 2026","passed","Sun Jan 18 07:28:18 UTC 2026","TestUserNegative","test_user","",""
"","37","Создание пользователя с невалидным паролем","tests","Sun Jan 18 07:28:17 UTC 2026","passed","Sun Jan 18 07:28:17 UTC 2026","TestUserNegative","test_user","",""
"","355","Частичное обновление существующего продукта","tests","Sun Jan 18 07:28:05 UTC 2026","passed","Sun Jan 18 07:28:06 UTC 2026","TestProductPositive","test_product","",""
"","860","Обновление данных существующего пользователя","tests","Sun Jan 18 07:28:17 UTC 2026","passed","Sun Jan 18 07:28:17 UTC 2026","TestUserPositive","test_user","",""
"","92","Создание заказа с удаленной корзиной","tests","Sun Jan 18 07:28:12 UTC 2026","passed","Sun Jan 18 07:28:12 UTC 2026","TestOrderNegative","test_order","",""
"","9","Получение существующего продукта","tests","Sun Jan 18 07:27:59 UTC 2026","passed","Sun Jan 18 07:27:59 UTC 2026","TestProductPositive","test_product","",""
"","654","Логин пользователя с валидными данными","tests","Sun Jan 18 07:27:45 UTC 2026","passed","Sun Jan 18 07:27:46 UTC 2026","TestAuthenticationPositive","test_authentication","",""
"","352","Добавление товара без наличия в корзину","tests","Sun Jan 18 07:28:02 UTC 2026","passed","Sun Jan 18 07:28:02 UTC 2026","TestCartNegative","test_cart","",""
"","858","Создание пользователя с валидными данными","tests","Sun Jan 18 07:28:14 UTC 2026","passed","Sun Jan 18 07:28:15 UTC 2026","TestUserPositive","test_user","",""
"","560","Логин пользователя с отсутствующим паролем","tests","Sun Jan 18 07:27:47 UTC 2026","passed","Sun Jan 18 07:27:48 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","188","Создание пользователя с невалидным паролем","tests","Sun Jan 18 07:28:17 UTC 2026","passed","Sun Jan 18 07:28:17 UTC 2026","TestUserNegative","test_user","",""
"","152","Создание продукта с некорректным URL изображения","tests","Sun Jan 18 07:28:15 UTC 2026","passed","Sun Jan 18 07:28:15 UTC 2026","TestProductNegative","test_product","",""
"","8","Добавление несуществующего товара в корзину","tests","Sun Jan 18 07:28:04 UTC 2026","passed","Sun Jan 18 07:28:04 UTC 2026","TestCartNegative","test_cart","",""
"","20","Удаление корзины","tests","Sun Jan 18 07:27:59 UTC 2026","passed","Sun Jan 18 07:27:59 UTC 2026","TestCartPositive","test_cart","",""
"","5","Создание пользователя с уже зарегистрированным email","tests","Sun Jan 18 07:28:18 UTC 2026","passed","Sun Jan 18 07:28:18 UTC 2026","TestUserNegative","test_user","",""
"","424","Создание продукта с данными в невалидном формате","tests","Sun Jan 18 07:28:09 UTC 2026","passed","Sun Jan 18 07:28:10 UTC 2026","TestProductNegative","test_product","",""
"","121","Удаление существующего пользователя","tests","Sun Jan 18 07:28:17 UTC 2026","passed","Sun Jan 18 07:28:17 UTC 2026","TestUserPositive","test_user","",""
"","75","Создание пользователя с невалидным телефоном","tests","Sun Jan 18 07:28:18 UTC 2026","passed","Sun Jan 18 07:28:18 UTC 2026","TestUserNegative","test_user","",""
"","13","Добавление количества одного товара в корзину больше чем доступно","tests","Sun Jan 18 07:28:08 UTC 2026","passed","Sun Jan 18 07:28:08 UTC 2026","TestCartNegative","test_cart","",""
"","57","Создание пользователя с невалидным телефоном","tests","Sun Jan 18 07:28:18 UTC 2026","passed","Sun Jan 18 07:28:18 UTC 2026","TestUserNegative","test_user","",""
"","92","Логин пользователя с невалидным форматом email и валидным паролем","tests","Sun Jan 18 07:27:46 UTC 2026","passed","Sun Jan 18 07:27:46 UTC 2026","TestAuthenticationNegative","test_authentication","",""
"","57","Создание продукта с данными в невалидном формате","tests","Sun Jan 18 07:28:09 UTC 2026","passed","Sun Jan 18 07:28:09 UTC 2026","TestProductNegative","test_product","",""
"","8","Удаление существующего продукта","tests","Sun Jan 18 07:28:08 UTC 2026","passed","Sun Jan 18 07:28:08 UTC 2026","TestProductPositive","test_product","",""
"","16","Полное обновление существующего продукта","tests","Sun Jan 18 07:28:04 UTC 2026","passed","Sun Jan 18 07:28:04 UTC 2026","TestProductPositive","test_product","",""
